Number of call,Response Time
1,5566639
2,580302
3,625103
4,565487
5,489903
6,555385
7,447893
8,468167
9,356809
10,487969
11,483639
12,436635
13,346937
14,320247
15,296274
16,359354
17,293595
18,277827
19,277757
20,278127
21,279326
22,274996
23,281132
24,273422
25,281393
26,264475
27,327152
28,272694
29,266542
30,266817
31,263645
32,267127
33,274707
34,261450
35,266171
36,258133
37,265290
38,264383
39,325150
40,267295
41,339271
42,259233
43,260934
44,260942
45,257111
46,265678
47,254697
48,257438
49,256082
50,253539
51,293301
52,255312
53,257410
54,255347
55,253519
56,263798
57,257428
58,253420
59,555333
60,309089
61,295078
62,328573
63,271951
64,266945
65,264366
66,261296
67,262657
68,257331
69,254690
70,254187
71,256721
72,253351
73,254240
74,313959
75,251480
76,253206
77,256591
78,251995
79,253991
80,254053
81,253508
82,252506
83,251251
84,253111
85,252829
86,316077
87,251746
88,260391
89,254451
90,251756
91,255024
92,254263
93,255916
94,254660
95,252849
96,252081
97,257478
98,309005
99,254530
100,251092
