Number of call,Response Time
1,5366699
2,661247
3,590996
4,510970
5,445575
6,352948
7,325816
8,310999
9,307970
10,407151
11,473192
12,464487
13,456999
14,348805
15,298997
16,302462
17,292389
18,276964
19,278585
20,340071
21,278308
22,279439
23,277241
24,275666
25,317954
26,408157
27,348591
28,320818
29,414340
30,379840
31,364381
32,359144
33,365096
34,279140
35,282169
36,272381
37,269922
38,275925
39,266262
40,274625
41,267007
42,264622
43,262992
44,301466
45,259965
46,261012
47,266777
48,259124
49,257485
50,273679
51,263453
52,534421
53,268260
54,260778
55,296531
56,255296
57,263491
58,253956
59,255036
60,275180
61,295573
62,321037
63,325216
64,353797
65,328553
66,387768
67,361217
68,312013
69,312515
70,268222
71,262573
72,261911
73,262655
74,265704
75,261207
76,259208
77,255690
78,260631
79,256326
80,257902
81,322016
82,254803
83,253386
84,253621
85,253727
86,253548
87,254744
88,255658
89,259724
90,253200
91,256112
92,249878
93,304849
94,254342
95,250332
96,252865
97,252721
98,252855
99,252636
100,258699
