Number of call,Response Time
1,5573700
2,711246
3,482577
4,402077
5,423000
6,436709
7,551392
8,428718
9,433919
10,394744
11,409226
12,338849
13,345851
14,361751
15,327459
16,326204
17,330384
18,316085
19,312622
20,367682
21,403701
22,422749
23,399923
24,386511
25,321050
26,332111
27,369682
28,395554
29,400759
30,371547
31,331535
32,336826
33,347063
34,305860
35,308417
36,301861
37,299916
38,311459
39,307860
40,664030
41,318363
42,345215
43,391289
44,321705
45,304081
46,303598
47,299588
48,304410
49,295602
50,294375
51,389334
52,325817
53,1084607
54,376109
55,326365
56,310870
57,364720
58,377067
59,382058
60,438553
61,329070
62,312553
63,303487
64,337032
65,366600
66,404408
67,452148
68,452853
69,351573
70,319767
71,317186
72,304564
73,304301
74,300293
75,295867
76,297220
77,294895
78,298736
79,295789
80,332477
81,294438
82,344892
83,336063
84,338225
85,356867
86,320579
87,306577
88,301236
89,299772
90,387940
91,375691
92,366590
93,372048
94,448935
95,392947
96,354131
97,355162
98,377428
99,388889
100,414253
