Number of call,Response Time
1,15034565
2,2736961
3,1869990
4,1815112
5,1507916
6,1743330
7,1408274
8,1271487
9,1471312
10,1476155
11,1429632
12,1400412
13,1305645
14,1391603
15,1364002
16,1369557
17,1663769
18,1620841
19,1536406
20,1357427
21,1373179
22,1395384
23,1424920
24,2474011
25,1481949
26,1443293
27,1450005
28,1539297
29,1837181
30,7527565
31,1611243
32,1734386
33,1470865
34,1436680
35,1501014
36,1396776
37,1426598
38,1550317
39,1810512
40,1788946
41,1693569
42,1502194
43,1784730
44,1516456
45,1438155
46,1190555
47,1813444
48,1305145
49,1275693
50,1120688
51,1182610
52,1197444
53,1069222
54,1071899
55,1090495
56,1230908
57,1132347
58,1494093
59,1085080
60,1008652
61,1035131
62,1073842
63,1030061
64,2847855
65,1748061
66,1826126
67,1874999
68,1832341
69,3319261
70,1835492
71,1374388
72,1462092
73,3348355
74,1735847
75,1532605
76,3574416
77,2436552
78,1967188
79,1982649
80,1626044
81,1944046
82,2017824
83,1604367
84,1685778
85,1487201
86,1570737
87,1294038
88,1130350
89,1164064
90,1041966
91,1179237
92,1353461
93,1170880
94,1091304
95,1339831
96,1078217
97,1097097
98,1159643
99,1091136
100,1107496
