Number of call,Response Time
1,14763306
2,3003634
3,1982629
4,2043262
5,1713960
6,1674525
7,1417792
8,1339463
9,1276001
10,1268598
11,1198921
12,1179154
13,1302430
14,1093197
15,1073861
16,1046076
17,1043904
18,1073904
19,1059504
20,1060281
21,1033642
22,1087216
23,1021833
24,1001254
25,1058179
26,1290994
27,1179884
28,1149267
29,1176595
30,1472007
31,1218825
32,1172437
33,1187178
34,1098492
35,1098343
36,1171383
37,1107627
38,1077424
39,1295597
40,1071502
41,1148018
42,1150270
43,1072511
44,1125603
45,1144537
46,1107859
47,1502566
48,1242603
49,1283385
50,1095811
51,1083034
52,1277002
53,1069973
54,1083026
55,1420824
56,1115509
57,1064154
58,1066706
59,988651
60,990389
61,976559
62,1051853
63,993457
64,1016044
65,1188075
66,1031567
67,1005839
68,1067781
69,978639
70,987202
71,1011865
72,1245050
73,3149106
74,1193725
75,1180802
76,2107341
77,1256845
78,1441089
79,1527240
80,1648698
81,1253717
82,1201813
83,1347771
84,1492106
85,1178086
86,1211020
87,1166415
88,1110080
89,1060518
90,1099648
91,1187324
92,1090219
93,1167588
94,1081866
95,2022273
96,1191120
97,1087374
98,1200377
99,1140707
100,1076272
