Number of call,Response Time
1,27752758
2,3222075
3,2056741
4,1979227
5,1878768
6,2050929
7,1872908
8,1756824
9,1724850
10,1637757
11,1544874
12,1307602
13,1339190
14,1281339
15,1289358
16,1210107
17,1211551
18,1731849
19,1444935
20,1342855
21,1351313
22,1485203
23,1469541
24,1424756
25,1190982
26,1203687
27,1224841
28,1201515
29,1244838
30,1318012
31,1361109
32,1265728
33,1231690
34,1272416
35,1360169
36,1205082
37,1288793
38,1204359
39,1190686
40,1270079
41,1455165
42,1219970
43,1243911
44,1177782
45,1188092
46,1218579
47,1532234
48,1402074
49,1270876
50,1441452
51,1161165
52,1058671
53,1118065
54,1197191
55,1924753
56,1387381
57,1439796
58,1646735
59,1569697
60,1291011
61,1396727
62,1362370
63,1160608
64,1156426
65,1237271
66,1473757
67,1236450
68,1156178
69,1201109
70,1166037
71,1217523
72,1142569
73,3035298
74,1450490
75,1262338
76,2155865
77,1371295
78,1461021
79,1498293
80,1781956
81,1728276
82,1628274
83,1622771
84,1369252
85,1304543
86,1284651
87,1318190
88,1157765
89,1138693
90,1191617
91,1433712
92,1282772
93,1258547
94,1168938
95,1170194
96,1215021
97,1183104
98,1138626
99,1225403
100,1332653
