Number of call,Response Time
1,23740672
2,3356946
3,2455155
4,2341109
5,2114362
6,1910086
7,1866387
8,1715486
9,1634083
10,1386171
11,1246785
12,1318715
13,1183740
14,1210779
15,1257015
16,1167507
17,1168282
18,1170555
19,1178384
20,1218038
21,1113924
22,1208416
23,1165153
24,1122542
25,1134291
26,1606111
27,1168582
28,1090458
29,1028002
30,1039508
31,1101713
32,1019054
33,1031618
34,1017297
35,1109586
36,2097908
37,1186731
38,1139020
39,1299072
40,1243948
41,1352893
42,1234679
43,1139189
44,1056585
45,1069615
46,1184822
47,1103424
48,1167949
49,1110408
50,1463272
51,1574479
52,1211752
53,1115940
54,1102834
55,1041413
56,1128503
57,1170094
58,1108493
59,1171306
60,1332927
61,1275476
62,1212499
63,1328057
64,1181939
65,1193614
66,1298901
67,1242894
68,1189603
69,1102681
70,1098420
71,1197729
72,1130130
73,2876916
74,1202551
75,1028338
76,1013855
77,1041994
78,1317146
79,1080464
80,1024612
81,1345543
82,1567543
83,1148552
84,1059066
85,2015058
86,1190754
87,1266314
88,1116044
89,1110722
90,1135133
91,1109371
92,1105710
93,1371033
94,1349244
95,1052464
96,1008032
97,1087168
98,1042422
99,1049792
100,1213711
