Number of call,Response Time
1,15
2,3
3,3
4,3
5,2
6,3
7,2
8,2
9,4
10,2
11,2
12,2
13,2
14,3
15,2
16,2
17,2
18,2
19,2
20,2
21,3
22,2
23,2
24,2
25,2
26,2
27,3
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,5
45,3
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,1
57,3
58,1
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,3
74,3
75,2
76,3
77,2
78,3
79,2
80,3
81,2
82,3
83,2
84,2
85,2
86,3
87,2
88,2
89,2
90,2
91,2
92,3
93,2
94,2
95,2
96,6
97,2
98,2
99,3
100,2
