Number of call,Response Time
1,54
2,34
3,41
4,38
5,16
6,5
7,13
8,6
9,10
10,6
11,12
12,14
13,6
14,11
15,7
16,11
17,10
18,9
19,10
20,7
21,11
22,6
23,15
24,11
25,6
26,12
27,6
28,10
29,5
30,12
31,5
32,11
33,5
34,11
35,6
36,10
37,6
38,11
39,5
40,6
41,10
42,5
43,10
44,5
45,10
46,6
47,9
48,6
49,10
50,7
51,5
52,9
53,6
54,10
55,6
56,10
57,6
58,9
59,6
60,5
61,9
62,6
63,10
64,5
65,11
66,6
67,10
68,6
69,10
70,5
71,10
72,6
73,5
74,10
75,5
76,12
77,5
78,10
79,5
80,9
81,6
82,10
83,6
84,10
85,6
86,5
87,9
88,5
89,10
90,5
91,5
92,9
93,5
94,10
95,5
96,6
97,8
98,5
99,10
100,5
