Number of call,Response Time
1,15
2,4
3,3
4,2
5,3
6,2
7,3
8,3
9,2
10,3
11,2
12,2
13,3
14,2
15,2
16,2
17,3
18,2
19,2
20,2
21,2
22,3
23,2
24,2
25,2
26,2
27,2
28,2
29,3
30,2
31,2
32,2
33,2
34,2
35,2
36,3
37,2
38,3
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,3
47,2
48,3
49,2
50,2
51,6
52,3
53,2
54,2
55,3
56,3
57,3
58,2
59,2
60,2
61,3
62,2
63,3
64,2
65,3
66,2
67,2
68,3
69,2
70,3
71,2
72,3
73,4
74,3
75,4
76,3
77,2
78,4
79,2
80,3
81,2
82,3
83,2
84,2
85,3
86,2
87,2
88,3
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,3
98,1
99,2
100,2
