Number of call,Response Time
1,12
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,1
