Number of call,Response Time
1,18
2,5
3,4
4,4
5,3
6,3
7,3
8,3
9,3
10,2
11,3
12,3
13,3
14,3
15,2
16,3
17,2
18,4
19,2
20,3
21,3
22,2
23,3
24,3
25,5
26,3
27,2
28,3
29,2
30,3
31,3
32,3
33,2
34,3
35,2
36,4
37,5
38,2
39,3
40,3
41,4
42,4
43,4
44,4
45,3
46,6
47,3
48,4
49,5
50,6
51,3
52,3
53,4
54,4
55,4
56,4
57,3
58,4
59,3
60,3
61,3
62,3
63,7
64,3
65,2
66,3
67,2
68,3
69,3
70,3
71,3
72,3
73,2
74,3
75,3
76,3
77,2
78,3
79,2
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,2
89,3
90,3
91,4
92,3
93,3
94,3
95,4
96,3
97,3
98,3
99,5
100,4
