Number of call,Response Time
1,16197975
2,3595857
3,1804139
4,2107965
5,1819592
6,1848727
7,3728480
8,1972552
9,1648929
10,1720671
11,1721745
12,2037614
13,2114540
14,1551679
15,1797028
16,2515986
17,2937031
18,3214350
19,1640446
20,2477330
21,1858401
22,1752577
23,2143184
24,2027157
25,1504793
26,1582709
27,1473952
28,2650770
29,2159697
30,1900910
31,1454160
32,2112095
33,1456044
34,1686673
35,2420287
36,1595105
37,1511844
38,1540299
39,1548578
40,1594993
41,1455468
42,1767938
43,1673270
44,1546311
45,1690659
46,2202887
47,2380997
48,1724033
49,2695324
50,1900749
51,1619353
52,2644323
53,3138297
54,1659989
55,21942291
56,3961015
57,4644916
58,3218129
59,6232429
60,23116877
61,15199313
62,4228440
63,3286473
64,18060533
65,6084057
66,19315460
67,17467999
68,5167106
69,5356668
70,10567001
71,19796218
72,6608887
73,22794877
74,1948719
75,3041952
76,8221493
77,4580131
78,4983657
79,8032560
80,4488935
81,2015162
82,2349297
83,3558243
84,2932821
85,3917010
86,2818087
87,2410090
88,3144618
89,1838929
90,2004488
91,1887208
92,1953092
93,1878856
94,3980443
95,4572250
96,2560208
97,2886408
98,3963377
99,3176680
100,2306297
