Number of call,Response Time
1,11957651
2,1287961
3,849283
4,799461
5,1522799
6,718622
7,809932
8,690117
9,1122574
10,773388
11,724810
12,733991
13,740791
14,680674
15,737090
16,758714
17,733793
18,720825
19,707149
20,744817
21,652585
22,945027
23,954952
24,645791
25,1292551
26,649750
27,648174
28,732178
29,665282
30,738668
31,731900
32,634125
33,675542
34,638500
35,5159164
36,628375
37,752793
38,711152
39,634396
40,637179
41,583506
42,588578
43,620273
44,590707
45,589332
46,619101
47,634564
48,630213
49,665533
50,770362
51,641636
52,684623
53,641904
54,548407
55,543356
56,529430
57,605631
58,659513
59,615716
60,785268
61,676732
62,603607
63,600504
64,569319
65,587752
66,603166
67,693641
68,619191
69,643318
70,565631
71,731970
72,672098
73,2377707
74,776353
75,613256
76,691706
77,951628
78,671931
79,780260
80,802024
81,669226
82,725653
83,630901
84,585379
85,625698
86,684719
87,614965
88,676936
89,859246
90,792347
91,692181
92,719151
93,809775
94,710460
95,703202
96,855011
97,798564
98,618685
99,735748
100,585272
