Number of call,Response Time
1,12844076
2,2564505
3,2192023
4,2001275
5,2390022
6,2303147
7,1817420
8,1914324
9,2302393
10,2019324
11,2946441
12,2006125
13,1947335
14,2747081
15,1955339
16,1952070
17,2233857
18,2043009
19,2144777
20,2821483
21,3685679
22,1786309
23,2731143
24,3222562
25,1920375
26,3689505
27,2489490
28,2725515
29,2345569
30,2368834
31,2080330
32,2184904
33,1901795
34,1980006
35,2992030
36,5111331
37,1979064
38,1861913
39,2348714
40,2501283
41,2601987
42,2979332
43,2414802
44,2559140
45,2798583
46,3000647
47,1952575
48,4143004
49,2062547
50,2418498
51,1949269
52,2618373
53,2251806
54,3366331
55,1942475
56,2392052
57,2609497
58,2600555
59,2514070
60,2786624
61,2462559
62,2841483
63,3150940
64,2191082
65,2324651
66,1808359
67,1638644
68,2219456
69,2022585
70,2264770
71,3175927
72,2019412
73,4072587
74,1741498
75,1858132
76,1863201
77,2062113
78,2048771
79,2144847
80,2748459
81,2337030
82,1788707
83,2653874
84,2934595
85,3271723
86,2063284
87,2858769
88,2032272
89,1881337
90,2461729
91,2009890
92,3450896
93,2685031
94,2196157
95,2253840
96,2616645
97,1931588
98,3499501
99,2059989
100,2084802
