Number of call,Response Time
1,9041889
2,868685
3,756318
4,665717
5,699768
6,641059
7,679397
8,657933
9,643596
10,569187
11,603229
12,561001
13,533266
14,563986
15,523972
16,536749
17,590860
18,528653
19,518293
20,510276
21,537135
22,518488
23,555706
24,807902
25,639947
26,603174
27,530152
28,522165
29,494010
30,5307502
31,794794
32,634470
33,607115
34,588073
35,548216
36,473356
37,474890
38,466855
39,468941
40,480274
41,461860
42,575427
43,531198
44,462800
45,478589
46,472861
47,459912
48,461552
49,445825
50,563367
51,476107
52,465517
53,452433
54,462811
55,447492
56,447309
57,470305
58,522657
59,507816
60,468644
61,450468
62,644307
63,548604
64,541285
65,482353
66,476889
67,451223
68,460264
69,518995
70,500161
71,523544
72,449722
73,482561
74,449959
75,452861
76,440812
77,446248
78,534588
79,480441
80,657908
81,506070
82,495301
83,488167
84,545185
85,445076
86,438882
87,435352
88,428098
89,439203
90,426604
91,496027
92,430853
93,433886
94,429081
95,434088
96,436237
97,427809
98,496137
99,424510
100,428481
