Number of call,Response Time
1,29311184
2,4993484
3,2815232
4,2590929
5,3209174
6,3610246
7,2542936
8,2517574
9,2836267
10,2984113
11,2479613
12,2524952
13,2971975
14,2479446
15,2441093
16,2545224
17,5170488
18,3215896
19,2454287
20,3469759
21,2439339
22,2276652
23,2771769
24,2621132
25,8703018
26,11020907
27,11331354
28,6362270
29,2864589
30,3195914
31,3202774
32,4552451
33,3368233
34,4403944
35,4025134
36,2469557
37,3340635
38,2924301
39,7749463
40,2952477
41,2690962
42,3033109
43,2614918
44,2993319
45,2528834
46,3006026
47,4080691
48,2207222
49,3228640
50,3846892
51,3401018
52,2082905
53,4564736
54,2905433
55,3627161
56,19989878
57,4767057
58,9384340
59,20135052
60,11209715
61,11421485
62,3863057
63,9249894
64,20071746
65,11386131
66,5517248
67,3745727
68,3440846
69,4361239
70,3946805
71,5556843
72,4733573
73,7025378
74,3318363
75,4753136
76,5174806
77,5718745
78,5238412
79,4636837
80,4412156
81,3308579
82,4833809
83,9332620
84,3400828
85,2637361
86,3009786
87,4424794
88,3263604
89,2302422
90,2773830
91,3756848
92,2719353
93,4105521
94,3412438
95,3164379
96,4834612
97,4321611
98,4179153
99,3323261
100,2752708
