Number of call,Response Time
1,40
2,17
3,6
4,4
5,5
6,4
7,9
8,5
9,3
10,3
11,5
12,4
13,4
14,3
15,4
16,3
17,3
18,2
19,4
20,4
21,5
22,5
23,6
24,5
25,4
26,4
27,4
28,3
29,5
30,3
31,4
32,4
33,4
34,4
35,5
36,11
37,4
38,4
39,3
40,5
41,4
42,5
43,3
44,7
45,4
46,5
47,2
48,5
49,5
50,5
51,4
52,5
53,8
54,5
55,7
56,5
57,8
58,4
59,9
60,5
61,7
62,5
63,9
64,4
65,5
66,5
67,6
68,5
69,8
70,5
71,5
72,6
73,10
74,6
75,16
76,6
77,9
78,5
79,5
80,5
81,5
82,6
83,18
84,6
85,6
86,6
87,5
88,4
89,6
90,4
91,6
92,4
93,6
94,7
95,6
96,6
97,7
98,4
99,4
100,4
