Number of call,Response Time
1,49
2,6
3,4
4,3
5,4
6,6
7,6
8,3
9,5
10,5
11,3
12,2
13,3
14,5
15,2
16,3
17,6
18,2
19,3
20,2
21,5
22,3
23,4
24,2
25,13
26,3
27,2
28,3
29,5
30,3
31,6
32,17
33,2
34,3
35,8
36,5
37,3
38,3
39,6
40,3
41,5
42,3
43,11
44,4
45,3
46,3
47,5
48,3
49,3
50,9
51,2
52,3
53,9
54,2
55,6
56,2
57,6
58,3
59,2
60,7
61,12
62,2
63,3
64,3
65,17
66,3
67,3
68,10
69,3
70,4
71,4
72,3
73,5
74,3
75,2
76,3
77,2
78,3
79,3
80,3
81,2
82,4
83,4
84,2
85,8
86,2
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,7
97,4
98,3
99,7
100,3
