Number of call,Response Time
1,72
2,22
3,20
4,5
5,6
6,2
7,5
8,17
9,14
10,5
11,10
12,4
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,3
21,2
22,4
23,2
24,5
25,5
26,3
27,2
28,2
29,3
30,3
31,3
32,4
33,6
34,6
35,4
36,2
37,3
38,3
39,4
40,4
41,3
42,4
43,2
44,5
45,6
46,2
47,4
48,3
49,4
50,4
51,3
52,3
53,4
54,4
55,5
56,5
57,5
58,5
59,3
60,6
61,5
62,6
63,5
64,4
65,6
66,4
67,4
68,6
69,4
70,5
71,4
72,4
73,5
74,4
75,4
76,7
77,5
78,3
79,4
80,3
81,5
82,8
83,3
84,13
85,4
86,6
87,7
88,4
89,4
90,4
91,4
92,4
93,3
94,5
95,17
96,5
97,4
98,4
99,6
100,4
