Number of call,Response Time
1,36
2,24
3,8
4,34
5,25
6,10
7,8
8,10
9,18
10,17
11,4
12,4
13,3
14,8
15,11
16,8
17,13
18,20
19,6
20,4
21,8
22,3
23,3
24,6
25,4
26,3
27,6
28,5
29,3
30,3
31,3
32,6
33,4
34,2
35,2
36,4
37,3
38,8
39,3
40,3
41,2
42,3
43,2
44,2
45,2
46,2
47,4
48,2
49,2
50,2
51,1
52,3
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,3
61,2
62,2
63,3
64,2
65,2
66,2
67,2
68,3
69,2
70,2
71,2
72,1
73,4
74,2
75,1
76,3
77,2
78,2
79,3
80,1
81,3
82,3
83,3
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,1
94,3
95,1
96,3
97,1
98,2
99,1
100,2
