Number of call,Response Time
1,49
2,21
3,7
4,6
5,4
6,18
7,4
8,21
9,9
10,4
11,4
12,5
13,4
14,5
15,6
16,4
17,4
18,4
19,5
20,3
21,4
22,4
23,4
24,4
25,5
26,6
27,4
28,6
29,3
30,4
31,3
32,5
33,3
34,4
35,12
36,3
37,6
38,5
39,5
40,4
41,4
42,6
43,7
44,7
45,6
46,4
47,8
48,5
49,6
50,4
51,8
52,5
53,7
54,6
55,5
56,5
57,5
58,5
59,9
60,5
61,5
62,5
63,6
64,9
65,8
66,10
67,8
68,9
69,5
70,5
71,7
72,5
73,19
74,6
75,5
76,6
77,6
78,4
79,5
80,5
81,6
82,4
83,5
84,6
85,7
86,5
87,8
88,5
89,4
90,5
91,3
92,6
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,4
