Number of call,Response Time
1,14
2,3
3,1
4,3
5,2
6,3
7,2
8,3
9,3
10,2
11,1
12,2
13,1
14,2
15,2
16,1
17,2
18,2
19,3
20,3
21,3
22,3
23,2
24,2
25,1
26,2
27,3
28,2
29,3
30,2
31,2
32,2
33,2
34,1
35,2
36,2
37,2
38,1
39,2
40,1
41,1
42,2
43,3
44,3
45,2
46,3
47,3
48,2
49,1
50,3
51,3
52,2
53,2
54,1
55,2
56,2
57,1
58,2
59,1
60,2
61,3
62,2
63,2
64,2
65,3
66,1
67,2
68,2
69,2
70,1
71,2
72,1
73,5
74,3
75,3
76,4
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,2
90,2
91,2
92,2
93,1
94,2
95,2
96,3
97,3
98,2
99,2
100,1
