Number of call,Response Time
1,37
2,6
3,3
4,4
5,3
6,3
7,3
8,2
9,4
10,4
11,4
12,3
13,2
14,4
15,5
16,4
17,7
18,3
19,4
20,3
21,3
22,6
23,5
24,4
25,3
26,7
27,3
28,3
29,3
30,3
31,3
32,4
33,5
34,3
35,5
36,5
37,5
38,4
39,3
40,7
41,4
42,3
43,3
44,3
45,4
46,3
47,6
48,3
49,4
50,6
51,2
52,3
53,2
54,2
55,3
56,2
57,4
58,3
59,2
60,3
61,3
62,3
63,3
64,3
65,3
66,2
67,2
68,3
69,2
70,3
71,4
72,4
73,7
74,3
75,2
76,4
77,3
78,3
79,2
80,2
81,3
82,2
83,3
84,3
85,3
86,2
87,2
88,3
89,2
90,2
91,3
92,2
93,2
94,2
95,2
96,4
97,2
98,2
99,3
100,2
