Number of call,Response Time
1,65
2,12
3,19
4,5
5,5
6,16
7,17
8,6
9,8
10,5
11,3
12,4
13,5
14,3
15,4
16,5
17,6
18,3
19,5
20,6
21,4
22,4
23,4
24,4
25,4
26,4
27,6
28,5
29,5
30,4
31,4
32,4
33,4
34,5
35,4
36,11
37,3
38,4
39,5
40,4
41,5
42,5
43,5
44,5
45,8
46,7
47,5
48,7
49,6
50,7
51,4
52,7
53,6
54,7
55,6
56,5
57,5
58,5
59,5
60,5
61,9
62,5
63,4
64,5
65,7
66,7
67,12
68,6
69,9
70,7
71,5
72,6
73,8
74,20
75,6
76,5
77,5
78,6
79,5
80,5
81,5
82,4
83,6
84,4
85,6
86,7
87,6
88,7
89,6
90,4
91,4
92,4
93,3
94,5
95,3
96,3
97,3
98,3
99,4
100,3
